Measured Voltage (V)
-----------------------
Oct-16,17:29:34.25,4.0991,4.0991
Oct-16,17:29:34.35,4.0991,4.0991
Oct-16,17:29:34.46,4.0991,4.0991
Oct-16,17:29:34.56,4.0991,4.0991
Oct-16,17:29:34.66,4.0991,4.0991
Oct-16,17:29:34.76,4.0991,4.0991
Oct-16,17:29:34.86,4.0991,4.0991
Oct-16,17:29:34.97,4.0991,4.0991
Oct-16,17:29:35.07,4.0991,4.0991
Oct-16,17:29:35.17,4.0991,4.0991
Oct-16,17:29:35.27,4.0991,4.0991
Oct-16,17:29:35.38,4.0991,4.0991
Oct-16,17:29:35.48,4.0991,4.0991
Oct-16,17:29:35.58,4.0991,4.0991
Oct-16,17:29:35.68,4.0991,4.0991
Oct-16,17:29:35.78,4.0991,4.0991
Oct-16,17:29:35.88,4.0991,4.0991
Oct-16,17:29:35.98,4.0991,4.0991
Oct-16,17:29:36.08,4.0991,4.0991
Oct-16,17:29:36.18,4.0991,4.0991
Oct-16,17:29:36.29,4.0991,4.0991
Oct-16,17:29:36.39,4.0991,4.0991
Oct-16,17:29:36.49,4.0991,4.0991
Oct-16,17:29:36.59,4.0991,4.0991
Oct-16,17:29:36.70,4.0991,4.0991
Oct-16,17:29:36.80,4.0991,4.0991
Oct-16,17:29:36.90,4.0991,4.0991
Oct-16,17:29:37.00,4.0991,4.0991
Oct-16,17:29:37.10,4.0991,4.0991
Oct-16,17:29:37.20,4.0991,4.0991
Oct-16,17:29:37.30,4.0991,4.0991
Oct-16,17:29:37.41,4.0991,4.0991
Oct-16,17:29:37.51,4.0991,4.0991
Oct-16,17:29:37.61,4.0991,4.0991
Oct-16,17:29:37.71,4.0991,4.0991
Oct-16,17:29:37.81,4.0991,4.0991
Oct-16,17:29:37.92,4.0991,4.0991
Oct-16,17:29:38.02,4.0991,4.0991
Oct-16,17:29:38.12,4.0991,4.0991
Oct-16,17:29:38.22,4.0991,4.0991
Oct-16,17:29:38.32,4.0991,4.0991
Oct-16,17:29:38.42,4.0991,4.0991
Oct-16,17:29:38.53,4.0991,4.0991
Oct-16,17:29:38.63,4.0991,4.0991
Oct-16,17:29:38.73,4.0991,4.0991
